Name,Type,Array,Description,Note,Obsolete
YearGPS,uint,,GPS year output,,,
MonthGPS,uint,,GPS month output,,,
DayGPS,uint,,GPS day output,,,
HourGPS,uint,,GPS hour output,,,
MinuteGPS,uint,,GPS minute output,,,
SecondGPS,uint,,GPS second output,,,
HSecondGPS,uint,,GPS 1/100th second output,,,
SonarPanOffset,float,,Sonar mount location pan offset for 3D processing; meters,,,
SonarTiltOffset,float,,Sonar mount location tilt offset for 3D processing,,,
SonarRollOffset,float,,Sonar mount location roll offset for 3D processing,,,
SonarXOffset,float,,Sonar mount location X offset for 3D processing,,,
SonarYOffset,float,,Sonar mount location Y offset for 3D processing,,,
SonarZOffset,float,,Sonar mount location Z offset for 3D processing,,,
Tmatrix,float,16,3D processing transformation matrix,,,
SampleRate,float,,Calculated as 1e6/SamplePeriod,,,
AccellX,float,,X-axis sonar acceleration,,,
AccellY,float,,Y-axis sonar acceleration,,,
AccellZ,float,,Z-axis sonar acceleration,,,
PingMode,uint,,ARIS ping mode,1..12,,
FrequencyHiLow,uint,,Frequency,"1 = HF, 0 = LF",,
PulseWidth,uint,,Width of transmit pulse,4..100 microseconds,,
CyclePeriod,uint,,Ping cycle time,1802..65535 microseconds,,
SamplePeriod,uint,,Downrange sample rate,4..100 microseconds,,
TransmitEnable,uint,,"1 = Transmit ON, 0 = Transmit OFF",,,
FrameRate,float,,Instantaneous frame rate between frame N and frame N-1,microseconds,,
SoundSpeed,float,,Sound velocity in water calculated from water temperature depth and salinity setting,m/s,,
SamplesPerBeam,uint,,Number of downrange samples in each beam,,,
Enable150V,uint,,"1 = 150V ON (Max Power), 0 = 150V OFF (Min Power, 12V)",,,
SampleStartDelay,uint,,"Delay from transmit until start of sampling (window start) in usec, [930..65535]",,,
LargeLens,uint,,"1 = telephoto lens (large lens, big lens, hi-res lens) present",,,
TheSystemType,uint,,"1 = ARIS 3000, 0 = ARIS 1800, 2 = ARIS 1200",,,
SonarSerialNumber,uint,,Sonar serial number as labeled on housing,,,
ReservedEK,uint64,,Reserved.,,Obsolete,
ArisErrorFlagsUint,uint,,review: Error flag code bits,,,
MissedPackets,uint,,Missed packet count for Ethernet statistics reporting,,,
ArisAppVersion,uint,,Version number of ArisApp sending frame data,,,
Available2,uint,,Reserved for future use,,,
ReorderedSamples,uint,,"1 = frame data already ordered into [beam,sample] array, 0 = needs reordering",,,
Salinity,uint,,"Water salinity code:  0 = fresh, 15 = brackish, 35 = salt",,,
Pressure,float,,Depth sensor output,psi,,
BatteryVoltage,float,,Battery input voltage before power steering,,,
MainVoltage,float,,Main cable input voltage before power steering,,,
SwitchVoltage,float,,Input voltage after power steering; filtered voltage now,,,
FocusMotorMoving,uint,,,Added 14-Aug-2012 for AutomaticRecording,,
VoltageChanging,uint,,,"Added 16-Aug (first two bits = 12V, second two bits = 150V, 00 = not changing, 01 = turning on, 10 = turning off)",,
FocusTimeoutFault,uint,,,,,
FocusOverCurrentFault,uint,,,,,
FocusNotFoundFault,uint,,,,,
FocusStalledFault,uint,,,,,
FPGATimeoutFault,uint,,,,,
FPGABusyFault,uint,,,,,
FPGAStuckFault,uint,,,,,
CPUTempFault,uint,,,,,
PSUTempFault,uint,,,,,
WaterTempFault,uint,,,,,
HumidityFault,uint,,,,,
PressureFault,uint,,,,,
VoltageReadFault,uint,,,,,
VoltageWriteFault,uint,,,,,
FocusCurrentPosition,uint,,Focus shaft current position,0..1000 motor units,,
TargetPan,float,,Commanded pan position,,,
TargetTilt,float,,Commanded tilt position,,,
TargetRoll,float,,Commanded roll position,,,
PanMotorErrorCode,uint,,,,,
TiltMotorErrorCode,uint,,,,,
RollMotorErrorCode,uint,,,,,
PanAbsPosition,float,,Low-resolution magnetic encoder absolute pan position,,,
TiltAbsPosition,float,,Low-resolution magnetic encoder absolute tilt position,,,
RollAbsPosition,float,,Low-resolution magnetic encoder absolute roll position,,,
PanAccelX,float,,Accelerometer outputs from AR2 CPU board sensor,G,,
PanAccelY,float,,,G,,
PanAccelZ,float,,,G,,
TiltAccelX,float,,,G,,
TiltAccelY,float,,,G,,
TiltAccelZ,float,,,G,,
RollAccelX,float,,,G,,
RollAccelY,float,,,G,,
RollAccelZ,float,,,G,,
AppliedSettings,uint,,Cookie indices for command acknowlege in frame header,,,
ConstrainedSettings,uint,,Cookie indices for command acknowlege in frame header,,,
InvalidSettings,uint,,Cookie indices for command acknowlege in frame header,,,
EnableInterpacketDelay,uint,,If true delay is added between sending out image data packets,,,
InterpacketDelayPeriod,uint,,packet delay factor in us (does not include function overhead time),,,
Uptime,uint,,Total time the sonar has been running over its lifetime.,seconds,,
ArisAppVersionMajor,uint16,,Major version number,,,
ArisAppVersionMinor,uint16,,Minor version number ,,,
GoTime,uint64,,Sonar time when frame cycle is initiated in hardware,,,
PanVelocity,float,,AR2 pan velocity,degrees/second,,
TiltVelocity,float,,AR2 tilt velocity,degrees/second,,
RollVelocity,float,,AR2 roll velocity,degrees/second,,
GpsTimeAge,uint,,Age of the last GPS fix acquired; capped at 0xFFFFFFFF; zero if none,microseconds,,
